name,customizable_games,children's_games,thematic_games,strategy_games,abstract_games,family_games,wargames,party_games
Robinson Crusoe: Adventures on the Cursed Island,0,0,1,0,0,0,0,0
The Voyages of Marco Polo,0,0,0,1,0,0,0,0
The Gallerist,0,0,0,1,0,0,0,0
Barrage,0,0,0,1,0,0,0,0
Race for the Galaxy,0,0,0,1,0,0,0,0
Fields of Arle,0,0,0,1,0,0,0,0
7 Wonders,0,0,0,1,0,1,0,0
Teotihuacan: City of Gods,0,0,0,1,0,0,0,0
Clank!: A Deck-Building Adventure,0,0,0,1,0,1,0,0
The Quacks of Quedlinburg,0,0,0,0,0,1,0,0
Crokinole,0,0,0,0,0,1,0,0
Five Tribes,0,0,0,1,0,0,0,0
Dominant Species,0,0,0,1,0,0,0,0
On Mars,0,0,0,1,0,0,0,0
Lisboa,0,0,0,1,0,0,0,0
Aeon's End,0,0,0,1,0,0,0,0
Lords of Waterdeep,0,0,0,1,0,0,0,0
Paladins of the West Kingdom,0,0,0,1,0,0,0,0
Keyflower,0,0,0,1,0,0,0,0
Agricola (Revised Edition),0,0,0,1,0,0,0,0
Pax Pamir: Second Edition,0,0,0,1,0,0,0,0
Tainted Grail: The Fall of Avalon,0,0,1,0,0,0,0,0
Caylus,0,0,0,1,0,0,0,0
Architects of the West Kingdom,0,0,0,1,0,0,0,0
El Grande,0,0,0,1,0,0,0,0
Twilight Imperium: Third Edition,0,0,1,1,0,0,0,0
Battlestar Galactica: The Board Game,0,0,1,0,0,0,0,0
Eldritch Horror,0,0,1,0,0,0,0,0
Troyes,0,0,0,1,0,0,0,0
Rising Sun,0,0,0,1,0,0,0,0
Dominion: Intrigue,0,0,0,1,0,0,0,0
Mombasa,0,0,0,1,0,0,0,0
Grand Austria Hotel,0,0,0,1,0,0,0,0
The Lord of the Rings: Journeys in Middle-Earth,0,0,1,0,0,0,0,0
Patchwork,0,0,0,0,1,1,0,0
Raiders of the North Sea,0,0,0,1,0,0,0,0
Russian Railroads,0,0,0,1,0,0,0,0
Tigris & Euphrates,0,0,0,1,0,0,0,0
Codenames,0,0,0,0,0,0,0,1
Roll for the Galaxy,0,0,0,1,0,0,0,0
Trajan,0,0,0,1,0,0,0,0
Lorenzo il Magnifico,0,0,0,1,0,0,0,0
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,0,0,1,0,0,0,0,0
Dominion,0,0,0,1,0,0,0,0
Pandemic,0,0,0,1,0,1,0,0
Pandemic: Iberia,0,0,0,1,0,0,0,0
Champions of Midgard,0,0,0,1,0,0,0,0
Decrypto,0,0,0,0,0,0,0,1
Kemet,0,0,0,1,0,0,0,0
Yokohama,0,0,0,1,0,0,0,0
Clank! In! Space!: A Deck-Building Adventure,0,0,0,1,0,0,0,0
Forbidden Stars,0,0,0,1,0,0,0,0
Inis,0,0,0,1,0,0,0,0
The Isle of Cats,0,0,0,1,0,1,0,0
Star Wars: X-Wing Miniatures Game,1,0,0,0,0,0,1,0
Alchemists,0,0,0,1,0,0,0,0
Stone Age,0,0,0,1,0,1,0,0
Legendary Encounters: An Alien Deck Building Game,0,0,1,0,0,0,0,0
Vinhos Deluxe Edition,0,0,0,1,0,0,0,0
Endeavor: Age of Sail,0,0,0,1,0,0,0,0
Star Realms,0,0,0,1,0,0,0,0
Descent: Journeys in the Dark (Second Edition),0,0,1,0,0,0,0,0
Cartographers,0,0,0,0,0,1,0,0
Res Arcana,0,0,0,1,0,0,0,0
Age of Steam,0,0,0,1,0,0,0,0
Istanbul,0,0,0,1,0,0,0,0
Ticket to Ride: Europe,0,0,0,0,0,1,0,0
Dead of Winter: A Crossroads Game,0,0,1,0,0,0,0,0
Targi,0,0,0,1,0,0,0,0
War of the Ring,0,0,1,0,0,0,0,0
Chaos in the Old World,0,0,1,1,0,0,0,0
Welcome To...,0,0,0,0,0,1,0,0
That's Pretty Clever!,0,0,0,0,0,1,0,0
Trickerion: Legends of Illusion,0,0,0,1,0,0,0,0
The Lord of the Rings: The Card Game,1,0,0,0,0,0,0,0
Railways of the World,0,0,0,1,0,0,0,0
The Resistance: Avalon,0,0,0,0,0,0,0,1
Aeon's End: War Eternal,0,0,0,1,0,0,0,0
Dinosaur Island,0,0,0,1,0,0,0,0
PARKS,0,0,0,0,0,1,0,0
A Game of Thrones: The Board Game (Second Edition),0,0,0,1,0,0,0,0
Castles of Mad King Ludwig,0,0,0,1,0,0,0,0
Eclipse: Second Dawn for the Galaxy,0,0,0,1,0,0,0,0
Jaipur,0,0,0,0,0,1,0,0
Hansa Teutonica,0,0,0,1,0,0,0,0
Memoir '44,0,0,0,0,0,0,1,0
Ora et Labora,0,0,0,1,0,0,0,0
Chronicles of Crime,0,0,1,0,0,0,0,0
Commands & Colors: Ancients,0,0,0,0,0,0,1,0
Cosmic Encounter,0,0,1,1,0,0,0,0
T.I.M.E Stories,0,0,1,0,0,0,0,0
Sagrada,0,0,0,0,1,1,0,0
Xia: Legends of a Drift System,0,0,1,1,0,0,0,0
Suburbia,0,0,0,1,0,0,0,0
This War of Mine: The Board Game,0,0,1,0,0,0,0,0
Azul: Summer Pavilion,0,0,0,0,1,1,0,0
Nations,0,0,0,1,0,0,0,0
Detective: A Modern Crime Board Game,0,0,1,0,0,0,0,0
Near and Far,0,0,1,0,0,0,0,0
Ticket to Ride: Nordic Countries,0,0,0,0,0,1,0,0
Village,0,0,0,1,0,0,0,0
Paths of Glory,0,0,0,0,0,0,1,0
Combat Commander: Europe,0,0,0,0,0,0,1,0
Magic: The Gathering,1,0,0,0,0,0,0,0
Captain Sonar,0,0,1,0,0,0,0,1
Rajas of the Ganges,0,0,0,1,0,0,0,0
Codenames: Duet,0,0,0,0,0,1,0,0
Sekigahara: The Unification of Japan,0,0,0,0,0,0,1,0
Just One,0,0,0,0,0,0,0,1
The Quest for El Dorado,0,0,0,0,0,1,0,0
Star Realms: Colony Wars,0,0,0,1,0,0,0,0
Splendor,0,0,0,0,0,1,0,0
Santorini,0,0,0,0,1,1,0,0
La Granja,0,0,0,1,0,0,0,0
It's a Wonderful World,0,0,0,1,0,0,0,0
Coimbra,0,0,0,1,0,0,0,0
Watergate,0,0,0,1,0,0,0,0
Tichu,0,0,0,1,0,0,0,0
Go,0,0,0,0,1,0,0,0
Ticket to Ride,0,0,0,0,0,1,0,0
Dune: Imperium,0,0,1,1,0,0,0,0
Legendary: A Marvel Deck Building Game,0,0,1,0,0,0,0,0
Ra,0,0,0,1,0,0,0,0
Carcassonne,0,0,0,0,0,1,0,0
Zombicide: Black Plague,0,0,1,0,0,0,0,0
Kanban: Driver's Edition,0,0,0,1,0,0,0,0
Arcadia Quest,0,0,1,0,0,0,0,0
Goa,0,0,0,1,0,0,0,0
Horrified,0,0,1,0,0,0,0,0
The Princes of Florence,0,0,0,1,0,0,0,0
Cyclades,0,0,0,1,0,0,0,0
Secret Hitler,0,0,0,0,0,0,0,1
Cthulhu: Death May Die,0,0,1,0,0,0,0,0
Sushi Go Party!,0,0,0,0,0,1,0,0
Steam,0,0,0,1,0,0,0,0
YINSH,0,0,0,0,1,0,0,0
Viticulture,0,0,0,1,0,0,0,0
Galaxy Trucker,0,0,1,0,0,0,0,0
Deception: Murder in Hong Kong,0,0,0,0,0,0,0,1
Tyrants of the Underdark,0,0,0,1,0,0,0,0
Roll Player,0,0,0,1,0,0,0,0
Shogun,0,0,0,1,0,0,0,0
Isle of Skye: From Chieftain to King,0,0,0,1,0,1,0,0
1830: Railways & Robber Barons,0,0,0,1,0,0,0,0
Flamme Rouge,0,0,0,0,0,1,0,0
Century: Golem Edition,0,0,0,1,0,1,0,0
Hero Realms,1,0,0,1,0,0,0,0
Glory to Rome,0,0,0,1,0,0,0,0
Lewis & Clark: The Expedition,0,0,0,1,0,0,0,0
1960: The Making of the President,0,0,0,1,0,0,0,0
Power Grid Deluxe: Europe/North America,0,0,0,1,0,0,0,0
Hanamikoji,0,0,0,0,0,1,0,0
Bora Bora,0,0,0,1,0,0,0,0
Imperial,0,0,0,1,0,0,0,0
Dungeon Petz,0,0,1,1,0,0,0,0
Samurai,0,0,0,1,0,0,0,0
Space Base,0,0,0,0,0,1,0,0
Seasons,0,0,0,1,0,0,0,0
Imperial Settlers,0,0,0,1,0,0,0,0
Pulsar 2849,0,0,0,1,0,0,0,0
Dixit: Odyssey,0,0,0,0,0,0,0,1
Marco Polo II: In the Service of the Khan,0,0,0,1,0,0,0,0
Age of Empires III: The Age of Discovery,0,0,0,1,0,0,0,0
Kingdomino,0,0,0,0,0,1,0,0
Lords of Hellas,0,0,0,1,0,0,0,0
Space Alert,0,0,1,0,0,0,0,0
Modern Art,0,0,0,1,0,0,0,0
Fury of Dracula (Third/Fourth Edition),0,0,1,0,0,0,0,0
Glen More II: Chronicles,0,0,0,1,0,0,0,0
Dead of Winter: The Long Night,0,0,1,0,0,0,0,0
Battle Line,0,0,0,1,0,0,0,0
Summoner Wars: Master Set,1,0,0,1,0,0,0,0
Rococo,0,0,0,1,0,0,0,0
Exit: The Game - The Abandoned Cabin,0,0,1,0,0,1,0,0
Dominion (Second Edition),0,0,0,1,0,0,0,0
Navegador,0,0,0,1,0,0,0,0
Runewars,0,0,1,1,0,0,0,0
The Manhattan Project: Energy Empire,0,0,0,1,0,0,0,0
Tapestry,0,0,0,1,0,0,0,0
Alien Frontiers,0,0,0,1,0,0,0,0
Indonesia,0,0,0,1,0,0,0,0
Imperial 2030,0,0,0,1,0,0,0,0
Undaunted: Normandy,0,0,1,0,0,0,1,0
Burgle Bros.,0,0,1,0,0,1,0,0
Hannibal: Rome vs. Carthage,0,0,0,0,0,0,1,0
Concordia Venus,0,0,0,1,0,0,0,0
BattleLore (Second Edition),0,0,0,0,0,0,1,0
Vindication,0,0,0,1,0,0,0,0
Antiquity,0,0,0,1,0,0,0,0
Lost Ruins of Arnak,0,0,0,1,0,0,0,0
Western Legends,0,0,1,0,0,0,0,0
Cthulhu Wars,0,0,1,1,0,0,0,0
Hive,0,0,0,0,1,0,0,0
Onitama,0,0,0,0,1,0,0,0
Ethnos,0,0,0,1,0,0,0,0
Mage Wars Arena,1,0,0,0,0,0,0,0
Century: Spice Road,0,0,0,1,0,1,0,0
Aeon's End: Legacy,0,0,1,1,0,0,0,0
Above and Below,0,0,1,0,0,0,0,0
Nemo's War (Second Edition),0,0,1,0,0,0,0,0
Small World,0,0,0,1,0,1,0,0
Arboretum,0,0,0,0,0,1,0,0
Mysterium,0,0,1,0,0,1,0,0
Dungeon Lords,0,0,0,1,0,0,0,0
War Chest,0,0,0,0,1,0,0,0
The Taverns of Tiefenthal,0,0,0,1,0,0,0,0
KLASK,0,0,0,0,0,1,0,1
Telestrations,0,0,0,0,0,0,0,1
Bruges,0,0,0,1,0,0,0,0
Sid Meier's Civilization: The Board Game,0,0,0,1,0,0,0,0
Star Wars: Outer Rim,0,0,1,0,0,0,0,0
Letters from Whitechapel,0,0,1,1,0,0,0,0
Tikal,0,0,0,1,0,0,0,0
Heaven & Ale,0,0,0,1,0,0,0,0
Tiny Epic Galaxies,0,0,0,1,0,0,0,0
Merchants & Marauders,0,0,1,0,0,0,0,0
Cryptid,0,0,0,1,0,1,0,0
The Resistance,0,0,0,0,0,0,0,1
Glass Road,0,0,0,1,0,0,0,0
Mission: Red Planet (Second Edition),0,0,0,1,0,0,0,0
Ghost Stories,0,0,1,1,0,0,0,0
Acquire,0,0,0,1,0,0,0,0
Star Wars: Armada,0,0,1,0,0,0,1,0
Dixit,0,0,0,0,0,0,0,1
Viscounts of the West Kingdom,0,0,0,1,0,0,0,0
Agricola: All Creatures Big and Small,0,0,0,1,0,0,0,0
Takenoko,0,0,0,0,0,1,0,0
Here I Stand,0,0,0,0,0,0,1,0
Neuroshima Hex! 3.0,0,0,0,1,0,0,0,0
Love Letter,0,0,0,0,0,1,0,0
Dune,0,0,1,1,0,0,0,0
Evolution: Climate,0,0,1,1,0,0,0,0
Survive: Escape from Atlantis!,0,0,0,0,0,1,0,0
Altiplano,0,0,0,1,0,0,0,0
Die Macher,0,0,0,1,0,0,0,0
Harry Potter: Hogwarts Battle,0,0,1,1,0,0,0,0
Bärenpark,0,0,0,0,0,1,0,0
Notre Dame,0,0,0,1,0,0,0,0
San Juan,0,0,0,1,0,0,0,0
51st State: Master Set,0,0,0,1,0,0,0,0
At the Gates of Loyang,0,0,0,1,0,0,0,0
Endeavor,0,0,0,1,0,0,0,0
In the Year of the Dragon,0,0,0,1,0,0,0,0
The Pillars of the Earth,0,0,0,1,0,0,0,0
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,0,0,1,0,0,0,0,0
For Sale,0,0,0,0,0,1,0,0
Bruxelles 1893,0,0,0,1,0,0,0,0
Saint Petersburg,0,0,0,1,0,0,0,0
Claustrophobia,0,0,1,0,0,0,0,0
Blood Bowl: Team Manager - The Card Game,0,0,1,0,0,0,0,0
Clash of Cultures,0,0,0,1,0,0,0,0
Azul: Stained Glass of Sintra,0,0,0,0,0,1,0,0
Bunny Kingdom,0,0,0,0,0,1,0,0
Charterstone,0,0,0,1,0,0,0,0
Ticket to Ride: Märklin,0,0,0,1,0,1,0,0
Dune,0,0,1,1,0,0,0,0
King of Tokyo,0,0,0,0,0,1,0,0
Civilization,0,0,0,1,0,0,0,0
Arkham Horror (Third Edition),0,0,1,0,0,0,0,0
Space Hulk (Third Edition),0,0,1,0,0,0,0,0
Gùgōng,0,0,0,1,0,0,0,0
Mythic Battles: Pantheon,0,0,0,1,0,0,0,0
Nippon,0,0,0,1,0,0,0,0
Tiny Towns,0,0,0,0,0,1,0,0
San Juan (Second Edition),0,0,0,1,0,0,0,0
Gizmos,0,0,0,0,0,1,0,0
Codenames: Pictures,0,0,0,0,0,0,0,1
Advanced Squad Leader,0,0,0,0,0,0,1,0
Lost Cities,0,0,0,0,0,1,0,0
Calico,0,0,0,0,1,1,0,0
Mice and Mystics,0,0,1,0,0,0,0,0
Sword & Sorcery,0,0,1,0,0,0,0,0
Too Many Bones: Undertow,0,0,1,1,0,0,0,0
Pandemic Legacy: Season 0,0,0,1,1,0,0,0,0
The Manhattan Project,0,0,0,1,0,0,0,0
Macao,0,0,0,1,0,0,0,0
Fresco,0,0,0,1,0,1,0,0
Blood Bowl: Living Rulebook,0,0,1,0,0,0,0,0
Arkham Horror,0,0,1,0,0,0,0,0
Innovation,0,0,0,1,0,0,0,0
The Godfather: Corleone's Empire,0,0,1,1,0,0,0,0
Dice Forge,0,0,0,0,0,1,0,0
Maria,0,0,0,0,0,0,1,0
London (Second Edition),0,0,0,1,0,0,0,0
Santa Maria,0,0,0,1,0,0,0,0
A Few Acres of Snow,0,0,0,1,0,0,1,0
Stockpile,0,0,0,1,0,1,0,0
Abyss,0,0,0,1,0,0,0,0
Monikers,0,0,0,0,0,0,0,1
Firefly: The Game,0,0,1,0,0,0,0,0
Flash Point: Fire Rescue,0,0,1,0,0,1,0,0
Thunderstone Quest,0,0,0,1,0,0,0,0
Lancaster,0,0,0,1,0,0,0,0
Glen More,0,0,0,1,0,0,0,0
Newton,0,0,0,1,0,0,0,0
Quadropolis,0,0,0,0,0,1,0,0
Risk Legacy,0,0,0,1,0,0,0,0
Heroscape Master Set: Rise of the Valkyrie,1,0,1,0,0,0,0,0
Pandemic: Fall of Rome,0,0,0,1,0,0,0,0
Millennium Blades,0,0,1,0,0,0,0,0
Kingsburg,0,0,0,1,0,1,0,0
The Great Zimbabwe,0,0,0,1,0,0,0,0
Carpe Diem,0,0,0,1,0,0,0,0
Downforce,0,0,0,0,0,1,0,0
Star Realms: Frontiers,0,0,0,1,0,0,0,0
Pandemic: The Cure,0,0,0,1,0,1,0,0
BattleLore,0,0,1,0,0,0,1,0
Amerigo,0,0,0,1,0,0,0,0
Chinatown,0,0,0,1,0,0,0,0
Nusfjord,0,0,0,1,0,0,0,0
Spartacus: A Game of Blood and Treachery,0,0,1,0,0,0,0,0
Lord of the Rings: The Confrontation,0,0,0,1,0,0,0,0
Sheriff of Nottingham,0,0,0,0,0,1,0,1
Biblios,0,0,0,1,0,1,0,0
Amun-Re,0,0,0,1,0,0,0,0
BattleCON: Devastation of Indines,0,0,0,1,0,0,0,0
Twice as Clever!,0,0,0,0,0,1,0,0
Awkward Guests,0,0,0,0,0,1,0,0
Commands & Colors: Napoleonics,0,0,0,0,0,0,1,0
Pandemic: Reign of Cthulhu,0,0,1,1,0,0,0,0
1775: Rebellion,0,0,0,0,0,0,1,0
Skull,0,0,0,0,0,0,0,1
Descent: Journeys in the Dark,0,0,1,0,0,0,0,0
Blood Bowl (Third Edition),0,0,1,1,0,0,0,0
Shadows of Brimstone: City of the Ancients,0,0,1,0,0,0,0,0
Forbidden Desert,0,0,0,0,0,1,0,0
Raptor,0,0,0,1,0,1,0,0
Point Salad,0,0,0,0,0,1,0,0
Mansions of Madness,0,0,1,0,0,0,0,0
Madeira,0,0,0,1,0,0,0,0
"Labyrinth: The War on Terror, 2001 - ?",0,0,0,1,0,0,1,0
Mystic Vale,0,0,0,1,0,0,0,0
PitchCar,0,0,0,0,0,1,0,1
Deus,0,0,0,1,0,0,0,0
Camel Up (Second Edition),0,0,0,0,0,1,0,1
London,0,0,0,1,0,0,0,0
Colt Express,0,0,0,0,0,1,0,0
Archipelago,0,0,0,1,0,0,0,0
Hanabi,0,0,0,0,0,1,0,0
Schotten Totten,0,0,0,0,0,1,0,0
Catan,0,0,0,1,0,1,0,0
Legends of Andor,0,0,1,0,0,0,0,0
First Class: All Aboard the Orient Express!,0,0,0,1,0,0,0,0
Dice Throne: Season Two - Battle Chest,0,0,0,0,0,1,0,0
Sentinels of the Multiverse,0,0,1,0,0,0,0,0
Freedom: The Underground Railroad,0,0,1,1,0,0,0,0
Roads & Boats,0,0,0,1,0,0,0,0
Small World Underground,0,0,0,1,0,0,0,0
Citadels,0,0,0,1,0,1,0,0
The Grizzled,0,0,1,0,0,0,0,0
Shadows over Camelot,0,0,1,0,0,0,0,0
Euphoria: Build a Better Dystopia,0,0,0,1,0,0,0,0
Egizia,0,0,0,1,0,0,0,0
Imhotep,0,0,0,0,0,1,0,0
Lords of Vegas,0,0,1,1,0,0,0,0
Ginkgopolis,0,0,0,1,0,0,0,0
Friday,0,0,0,1,0,0,0,0
One Night Ultimate Werewolf,0,0,0,0,0,0,0,1
Junk Art,0,0,0,0,0,1,0,1
Time's Up! Title Recall!,0,0,0,0,0,0,0,1
Fire in the Lake,0,0,0,0,0,0,1,0
Imperial Settlers: Empires of the North,0,0,0,1,0,0,0,0
The Fox in the Forest,0,0,0,0,0,1,0,0
Betrayal Legacy,0,0,1,0,0,0,0,0
Libertalia,0,0,0,1,0,0,0,0
Stuffed Fables,0,0,1,0,0,0,0,0
Airlines Europe,0,0,0,1,0,1,0,0
Aeon's End: The New Age,0,0,0,1,0,0,0,0
Vinhos,0,0,0,1,0,0,0,0
Elysium,0,0,0,1,0,0,0,0
Ingenious,0,0,0,0,1,0,0,0
Thurn and Taxis,0,0,0,1,0,1,0,0
KeyForge: Call of the Archons,1,0,0,0,0,0,0,0
TZAAR,0,0,0,0,1,0,0,0
The Colonists,0,0,0,1,0,0,0,0
Pipeline,0,0,0,1,0,0,0,0
Photosynthesis,0,0,0,0,1,1,0,0
Tales of the Arabian Nights,0,0,1,0,0,0,0,0
Vikings,0,0,0,1,0,0,0,0
Queendomino,0,0,0,0,0,1,0,0
Chess,0,0,0,0,1,0,0,0
Argent: The Consortium,0,0,0,1,0,0,0,0
Exit: The Game - Dead Man on the Orient Express,0,0,0,0,0,1,0,0
Potion Explosion,0,0,0,0,0,1,0,0
Pathfinder Adventure Card Game: Rise of the Runelords - Base Set,0,0,1,0,0,0,0,0
RoboRally,0,0,1,1,0,0,0,0
Taj Mahal,0,0,0,1,0,0,0,0
Last Will,0,0,0,1,0,0,0,0
Escape Plan,0,0,1,1,0,0,0,0
Sushi Go!,0,0,0,0,0,1,0,0
Runebound (Third Edition),0,0,1,0,0,0,0,0
Star Wars: X-Wing Miniatures Game - The Force Awakens Core Set,1,0,0,0,0,0,0,0
StarCraft: The Board Game,0,0,1,1,0,0,0,0
No Thanks!,0,0,0,0,0,1,0,0
Black Orchestra,0,0,1,0,0,0,0,0
Hammer of the Scots,0,0,0,0,0,0,1,0
Bohnanza,0,0,0,0,0,1,0,0
Tekhenu: Obelisk of the Sun,0,0,0,1,0,0,0,0
Citadels,0,0,0,0,0,1,0,0
Colosseum,0,0,0,1,0,1,0,0
Port Royal,0,0,0,0,0,1,0,0
Chicago Express,0,0,0,1,0,0,0,0
Nexus Ops,0,0,1,0,0,0,1,0
Paperback,0,0,0,1,0,1,0,0
Karuba,0,0,0,0,0,1,0,0
Baseball Highlights: 2045,0,0,1,1,0,0,0,0
Discworld: Ankh-Morpork,0,0,1,0,0,0,0,0
Evolution,0,0,0,1,0,0,0,0
Automobile,0,0,0,1,0,0,0,0
Conan,0,0,1,0,0,0,0,0
1846: The Race for the Midwest,0,0,0,1,0,0,0,0
A Game of Thrones,0,0,0,1,0,0,0,0
Fantasy Realms,0,0,0,0,0,1,0,0
Alhambra,0,0,0,1,0,1,0,0
Pax Porfiriana,0,0,0,1,0,0,0,0
Francis Drake,0,0,0,1,0,0,0,0
Blood Bowl (2016 Edition),0,0,1,0,0,0,0,0
AquaSphere,0,0,0,1,0,0,0,0
DVONN,0,0,0,0,1,0,0,0
Carson City,0,0,0,1,0,0,0,0
Star Wars: Destiny,1,0,0,0,0,0,0,0
Sprawlopolis,0,0,0,0,0,1,0,0
Camel Up,0,0,0,0,0,1,0,0
A Game of Thrones: The Card Game (Second Edition),1,0,0,0,0,0,0,0
Dwellings of Eldervale,0,0,0,1,0,0,0,0
Earth Reborn,0,0,1,0,0,0,0,0
Zombicide,0,0,1,0,0,0,0,0
Blackout: Hong Kong,0,0,0,1,0,0,0,0
Gears of War: The Board Game,0,0,1,0,0,0,0,0
Railroad Ink: Deep Blue Edition,0,0,0,0,0,1,0,0
Love Letter Premium,0,0,0,0,0,1,0,1
Broom Service,0,0,0,1,0,1,0,0
Struggle of Empires,0,0,0,1,0,0,0,0
Wavelength,0,0,0,0,0,0,0,1
Quantum,0,0,0,1,0,0,0,0
Tobago,0,0,0,0,0,1,0,0
Forgotten Waters,0,0,1,0,0,0,0,0
Snowdonia,0,0,0,1,0,0,0,0
Obsession,0,0,1,1,0,0,0,0
Space Empires: 4X,0,0,0,0,0,0,1,0
Carcassonne: Hunters and Gatherers,0,0,0,0,0,1,0,0
Jamaica,0,0,0,0,0,1,0,0
Hadara,0,0,0,1,0,0,0,0
Mare Nostrum: Empires,0,0,0,1,0,0,0,0
Magic Maze,0,0,0,0,0,1,0,0
The Republic of Rome,0,0,0,1,0,0,0,0
Through the Desert,0,0,0,1,1,0,0,0
Thebes,0,0,0,0,0,1,0,0
Triumph & Tragedy: European Balance of Power 1936-1945,0,0,0,0,0,0,1,0
Las Vegas,0,0,0,0,0,1,0,0
Coup,0,0,0,0,0,0,0,1
One Night Ultimate Werewolf Daybreak,0,0,0,0,0,0,0,1
Trains,0,0,0,1,0,0,0,0
Valeria: Card Kingdoms,0,0,0,1,0,1,0,0
Taluva,0,0,0,1,1,0,0,0
Thunderstone Advance: Towers of Ruin,0,0,0,1,0,0,0,0
Summoner Wars,1,0,0,0,0,0,0,0
Sidereal Confluence: Remastered Edition,0,0,0,1,0,0,0,0
Shadows of Brimstone: Swamps of Death,0,0,1,0,0,0,0,0
Shakespeare,0,0,0,1,0,0,0,0
Belfort,0,0,0,1,0,0,0,0
Dixit: Journey,0,0,0,0,0,0,0,1
The Battle of Five Armies,0,0,1,0,0,0,1,0
Formula D,0,0,1,0,0,1,0,0
Betrayal at House on the Hill,0,0,1,0,0,0,0,0
Pax Renaissance,0,0,1,1,0,0,0,0
Time's Up!,0,0,0,0,0,0,0,1
Dice Throne: Season One,0,0,0,0,0,1,0,0
"Unmatched: Battle of Legends, Volume One",0,0,0,1,0,0,0,0
Smash Up: Awesome Level 9000,0,0,0,1,0,1,0,0
Luna,0,0,0,1,0,0,0,0
Defenders of the Realm,0,0,1,0,0,0,0,0
Cuba Libre,0,0,0,0,0,0,1,0
Mr. Jack,0,0,0,1,0,0,0,0
Zombicide: Green Horde,0,0,1,0,0,0,0,0
ZhanGuo,0,0,0,1,0,0,0,0
Torres,0,0,0,1,1,0,0,0
Myrmes,0,0,0,1,0,0,0,0
Cuba,0,0,0,1,0,0,0,0
Lord of the Rings: The Confrontation,0,0,0,1,0,0,0,0
Oceans,0,0,0,1,0,0,0,0
Wallenstein,0,0,0,1,0,0,0,0
Warhammer Quest: The Adventure Card Game,0,0,1,0,0,0,0,0
Star Trek: Ascendancy,0,0,1,0,0,0,0,0
Fury of Dracula (Second Edition),0,0,1,0,0,0,0,0
Skull King,0,0,0,0,0,1,0,0
Medici,0,0,0,1,0,0,0,0
Exit: The Game - The Pharaoh's Tomb,0,0,0,1,0,1,0,0
